site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P396 07MAR01 2007.1622 54160 1416 4 -123.8  -1795 -0.404092   5019342  0.172916    54  0.558424  0.0083 0.000894 0.001209 0.003985  0.128653  0.000477 -0.062604  45.3095132567 -123.8228955990    54.55842
P396 07MAR02 2007.1650 54161 1416 5 -123.8  -1795 -0.402680   5019342  0.174083    54  0.552345  0.0083 0.000882 0.001201 0.003923  0.129812 -0.034035 -0.073750  45.3095132668 -123.8228955814    54.55234
P396 07MAR03 2007.1677 54162 1416 6 -123.8  -1795 -0.402393   5019342  0.173449    54  0.547552  0.0083 0.000857 0.001229 0.003924  0.123618  0.047910 -0.152829  45.3095132608 -123.8228955782    54.54755
P396 07MAR04 2007.1704 54163 1417 0 -123.8  -1795 -0.400873   5019342  0.174621    54  0.557768  0.0083 0.000850 0.001189 0.003822  0.119445  0.074963 -0.102562  45.3095132710 -123.8228955593    54.55777
P396 07MAR05 2007.1732 54164 1417 1 -123.8  -1795 -0.400905   5019342  0.174525    54  0.564368  0.0083 0.000857 0.001192 0.003886  0.098773  0.038180 -0.126339  45.3095132697 -123.8228955602    54.56437
P396 07MAR06 2007.1759 54165 1417 2 -123.8  -1795 -0.403475   5019342  0.172802    54  0.560796  0.0083 0.000869 0.001206 0.003893  0.112642  0.027208 -0.110645  45.3095132539 -123.8228955934    54.56080
P396 07MAR07 2007.1786 54166 1417 3 -123.8  -1795 -0.407056   5019342  0.170181    54  0.571784  0.0083 0.000850 0.001187 0.003813  0.098732  0.028766 -0.135637  45.3095132300 -123.8228956395    54.57178
P396 07MAR08 2007.1814 54167 1417 4 -123.8  -1795 -0.405526   5019342  0.174351    54  0.562326  0.0083 0.000868 0.001219 0.003943  0.120160  0.047487 -0.098357  45.3095132671 -123.8228956205    54.56233
P396 07MAR09 2007.1841 54168 1417 5 -123.8  -1795 -0.403331   5019342  0.171328    54  0.558944  0.0083 0.000842 0.001201 0.003904  0.107845  0.086647 -0.144863  45.3095132396 -123.8228955930    54.55894
P396 07MAR10 2007.1869 54169 1417 6 -123.8  -1795 -0.401963   5019342  0.173271    54  0.551581  0.0083 0.000888 0.001308 0.004261  0.082272  0.090091 -0.226147  45.3095132567 -123.8228955760    54.55158
