site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P403 05OCT11 2005.7769 53654 1344 2 -124.1  -3046 -0.565215   5325357  0.306627   284  0.674066  0.0083 0.000726 0.001075 0.003166 -0.007429 -0.122764 -0.189146  48.0623218961 -124.1408751307   284.67407
P403 05OCT12 2005.7796 53655 1344 3 -124.1  -3046 -0.564695   5325357  0.304538   284  0.678154  0.0083 0.000719 0.001061 0.003112  0.006212 -0.094611 -0.184068  48.0623218769 -124.1408751242   284.67815
P403 05OCT13 2005.7823 53656 1344 4 -124.1  -3046 -0.566540   5325357  0.302095   284  0.683615  0.0083 0.000723 0.001087 0.003156 -0.027805 -0.096088 -0.117243  48.0623218546 -124.1408751495   284.68361
P403 05OCT14 2005.7851 53657 1344 5 -124.1  -3046 -0.564567   5325357  0.304699   284  0.677728  0.0083 0.000718 0.001066 0.003134 -0.003849 -0.093030 -0.165357  48.0623218777 -124.1408751235   284.67773
P403 05OCT15 2005.7878 53658 1344 6 -124.1  -3046 -0.566041   5325357  0.304158   284  0.671612  0.0083 0.000710 0.001049 0.003061  0.005630 -0.103711 -0.163036  48.0623218725 -124.1408751438   284.67161
P403 05OCT16 2005.7906 53659 1345 0 -124.1  -3046 -0.563900   5325357  0.305559   284  0.674897  0.0083 0.000707 0.001037 0.003033  0.009142 -0.116456 -0.165470  48.0623218847 -124.1408751156   284.67490
P403 05OCT17 2005.7933 53660 1345 1 -124.1  -3046 -0.565005   5325357  0.304588   284  0.675764  0.0083 0.000706 0.001075 0.003082  0.000130 -0.089623 -0.166438  48.0623218757 -124.1408751309   284.67576
P403 05OCT18 2005.7960 53661 1345 2 -124.1  -3046 -0.563647   5325357  0.306367   284  0.672547  0.0083 0.000726 0.001066 0.003125 -0.016529 -0.096612 -0.178822  48.0623218913 -124.1408751132   284.67255
P403 05OCT19 2005.7988 53662 1345 3 -124.1  -3046 -0.563089   5325357  0.307138   284  0.681015  0.0083 0.000728 0.001080 0.003149 -0.022172 -0.082460 -0.169258  48.0623218979 -124.1408751063   284.68101
P403 05OCT20 2005.8015 53663 1345 4 -124.1  -3046 -0.562466   5325357  0.305874   284  0.672886  0.0083 0.000730 0.001087 0.003120 -0.024333 -0.065001 -0.177142  48.0623218862 -124.1408750984   284.67289
P403 05OCT21 2005.8042 53664 1345 5 -124.1  -3046 -0.561983   5325357  0.308250   284  0.678437  0.0083 0.000716 0.001054 0.003100  0.012363 -0.116455 -0.157369  48.0623219072 -124.1408750924   284.67844
P403 05OCT22 2005.8070 53665 1345 6 -124.1  -3046 -0.562379   5325357  0.305847   284  0.670412  0.0083 0.000712 0.001044 0.003069  0.011629 -0.120188 -0.160461  48.0623218852 -124.1408750983   284.67041
P403 05OCT23 2005.8097 53666 1346 0 -124.1  -3046 -0.563691   5325357  0.304364   284  0.676265  0.0083 0.000714 0.001042 0.003054 -0.019108 -0.068489 -0.153938  48.0623218716 -124.1408751163   284.67627
P403 05OCT24 2005.8125 53667 1346 1 -124.1  -3046 -0.563811   5325357  0.306262   284  0.668859  0.0083 0.000700 0.001042 0.003016 -0.000751 -0.089255 -0.159747  48.0623218883 -124.1408751185   284.66886
P403 05OCT25 2005.8152 53668 1346 2 -124.1  -3046 -0.564407   5325357  0.305786   284  0.666652  0.0083 0.000722 0.001054 0.003142  0.014569 -0.122240 -0.175706  48.0623218836 -124.1408751270   284.66665
P403 05OCT26 2005.8179 53669 1346 3 -124.1  -3046 -0.563431   5325357  0.306718   284  0.671429  0.0083 0.000714 0.001071 0.003065 -0.012166 -0.046099 -0.185740  48.0623218917 -124.1408751144   284.67143
P403 05OCT27 2005.8207 53670 1346 4 -124.1  -3046 -0.562288   5325357  0.307218   284  0.667254  0.0083 0.000707 0.001033 0.003057  0.012297 -0.114306 -0.193244  48.0623218958 -124.1408750996   284.66725
P403 05OCT28 2005.8234 53671 1346 5 -124.1  -3046 -0.563453   5325357  0.302614   284  0.676824  0.0083 0.000722 0.001057 0.003129  0.002325 -0.099375 -0.149837  48.0623218541 -124.1408751157   284.67682
P403 05OCT29 2005.8261 53672 1346 6 -124.1  -3046 -0.564314   5325357  0.307862   284  0.676877  0.0083 0.000701 0.001042 0.003055 -0.002742 -0.109629 -0.189030  48.0623219009 -124.1408751278   284.67688
P403 05OCT30 2005.8289 53673 1347 0 -124.1  -3046 -0.562934   5325357  0.307606   284  0.674672  0.0083 0.000704 0.001034 0.003041 -0.005644 -0.088520 -0.189497  48.0623218983 -124.1408751098   284.67467
P403 05OCT31 2005.8316 53674 1347 1 -124.1  -3046 -0.561761   5325357  0.305391   284  0.669912  0.0083 0.000742 0.001075 0.003167 -0.019048 -0.113193 -0.179219  48.0623218780 -124.1408750945   284.66991
P403 05NOV01 2005.8344 53675 1347 2 -124.1  -3046 -0.561820   5325357  0.307210   284  0.672153  0.0083 0.000731 0.001067 0.003120 -0.001733 -0.074056 -0.173046  48.0623218940 -124.1408750959   284.67215
P403 05NOV02 2005.8371 53676 1347 3 -124.1  -3046 -0.561698   5325357  0.307522   284  0.671489  0.0083 0.000745 0.001061 0.003179  0.005988 -0.098376 -0.159577  48.0623218965 -124.1408750947   284.67149
P403 05NOV03 2005.8398 53677 1347 4 -124.1  -3046 -0.562532   5325357  0.305380   284  0.674775  0.0083 0.000730 0.001079 0.003183  0.001746 -0.138547 -0.194442  48.0623218769 -124.1408751064   284.67477
P403 05NOV04 2005.8426 53678 1347 5 -124.1  -3046 -0.563303   5325357  0.305368   284  0.681669  0.0083 0.000738 0.001080 0.003175 -0.013822 -0.107190 -0.199335  48.0623218764 -124.1408751173   284.68167
P403 05NOV05 2005.8453 53679 1347 6 -124.1  -3046 -0.561915   5325357  0.307773   284  0.677748  0.0083 0.000752 0.001104 0.003260  0.007449 -0.080764 -0.208998  48.0623218977 -124.1408750992   284.67775
P403 05NOV06 2005.8480 53680 1348 0 -124.1  -3046 -0.564618   5325357  0.308327   284  0.678922  0.0083 0.000744 0.001072 0.003161  0.012918 -0.108971 -0.181386  48.0623219023 -124.1408751360   284.67892
P403 05NOV07 2005.8508 53681 1348 1 -124.1  -3046 -0.562748   5325357  0.308161   284  0.671763  0.0083 0.000723 0.001066 0.003094 -0.003289 -0.125619 -0.146285  48.0623219005 -124.1408751114   284.67176
P403 05NOV08 2005.8535 53682 1348 2 -124.1  -3046 -0.562852   5325357  0.307836   284  0.674891  0.0083 0.000753 0.001076 0.003248  0.016717 -0.157209 -0.192661  48.0623218972 -124.1408751133   284.67489
P403 05NOV09 2005.8563 53683 1348 3 -124.1  -3046 -0.563993   5325357  0.306277   284  0.672449  0.0083 0.000744 0.001091 0.003200 -0.000868 -0.106395 -0.166559  48.0623218828 -124.1408751291   284.67245
P403 05NOV10 2005.8590 53684 1348 4 -124.1  -3046 -0.566129   5325357  0.304549   284  0.674872  0.0083 0.000740 0.001108 0.003202 -0.007055 -0.096560 -0.177381  48.0623218669 -124.1408751583   284.67487
P403 05NOV11 2005.8617 53685 1348 5 -124.1  -3046 -0.565105   5325357  0.305422   284  0.677722  0.0083 0.000734 0.001061 0.003150 -0.006728 -0.097982 -0.187683  48.0623218744 -124.1408751450   284.67772
P403 05NOV12 2005.8645 53686 1348 6 -124.1  -3046 -0.563938   5325357  0.307499   284  0.671440  0.0083 0.000724 0.001046 0.003041  0.007564 -0.098616 -0.185183  48.0623218928 -124.1408751299   284.67144
P403 05NOV13 2005.8672 53687 1349 0 -124.1  -3046 -0.563347   5325357  0.307893   284  0.668139  0.0083 0.000734 0.001076 0.003167 -0.014332 -0.107946 -0.181221  48.0623218960 -124.1408751225   284.66814
P403 05NOV14 2005.8700 53688 1349 1 -124.1  -3046 -0.562409   5325357  0.308248   284  0.667416  0.0083 0.000738 0.001079 0.003157  0.012320 -0.135064 -0.159374  48.0623218988 -124.1408751104   284.66742
P403 05NOV15 2005.8727 53689 1349 2 -124.1  -3046 -0.562294   5325357  0.308640   284  0.665335  0.0083 0.000717 0.001057 0.003116  0.002775 -0.083763 -0.149718  48.0623219020 -124.1408751094   284.66533
P403 05NOV16 2005.8754 53690 1349 3 -124.1  -3046 -0.561786   5325357  0.306883   284  0.660112  0.0083 0.000712 0.001060 0.003070  0.020036 -0.116295 -0.157458  48.0623218858 -124.1408751031   284.66011
P403 05NOV17 2005.8782 53691 1349 4 -124.1  -3046 -0.561990   5325357  0.307828   284  0.668043  0.0083 0.000709 0.001042 0.003050  0.021653 -0.123684 -0.148865  48.0623218940 -124.1408751063   284.66804
P403 05NOV18 2005.8809 53692 1349 5 -124.1  -3046 -0.561922   5325357  0.307687   284  0.664108  0.0083 0.000712 0.001051 0.003102  0.024139 -0.109443 -0.168920  48.0623218924 -124.1408751059   284.66411
P403 05NOV19 2005.8836 53693 1349 6 -124.1  -3046 -0.561198   5325357  0.308875   284  0.665164  0.0083 0.000708 0.001043 0.003060  0.031375 -0.123853 -0.181869  48.0623219027 -124.1408750967   284.66516
P403 05NOV20 2005.8864 53694 1350 0 -124.1  -3046 -0.564121   5325357  0.307239   284  0.661085  0.0083 0.000702 0.001041 0.003056  0.004789 -0.133044 -0.158152  48.0623218877 -124.1408751364   284.66109
P403 05NOV21 2005.8891 53695 1350 1 -124.1  -3046 -0.564414   5325357  0.308212   284  0.662496  0.0083 0.000716 0.001077 0.003167 -0.027584 -0.101586 -0.146934  48.0623218961 -124.1408751409   284.66250
P403 05NOV22 2005.8919 53696 1350 2 -124.1  -3046 -0.566310   5325357  0.306178   284  0.662337  0.0083 0.000705 0.001043 0.003108  0.012188 -0.134540 -0.188686  48.0623218774 -124.1408751668   284.66234
P403 05NOV23 2005.8946 53697 1350 3 -124.1  -3046 -0.563256   5325357  0.307952   284  0.662876  0.0083 0.000709 0.001040 0.003070  0.019861 -0.097574 -0.169633  48.0623218930 -124.1408751263   284.66288
P403 05NOV24 2005.8973 53698 1350 4 -124.1  -3046 -0.564763   5325357  0.305094   284  0.671706  0.0083 0.000723 0.001054 0.003155  0.001597 -0.102390 -0.183358  48.0623218670 -124.1408751471   284.67171
P403 05NOV25 2005.9001 53699 1350 5 -124.1  -3046 -0.564686   5325357  0.306316   284  0.674554  0.0083 0.000708 0.001041 0.003051 -0.000917 -0.093423 -0.158306  48.0623218776 -124.1408751466   284.67455
